"sdate","stime","vessel","id","depth","Chl_a_Holm_Hansen_F","Phaeo_Holm_HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"28-Apr-2006","13:17","CapBreton",260800,1,22.0419600775194,0.594918922480616,602.253322054264,51.2573515457364,588.466647771318,36.5427946036821,118,113.554820601036,8.994,402,"30.18",0.135,4.837,0.447,0.6235,0.0675
"28-Apr-2006","13:17","CapBreton",260799,5,23.1119581395349,1.45733736046511,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1705,4.8005,0.495,0.6105,0.0845
"28-Apr-2006","13:17","CapBreton",260798,10,19.9019639534884,1.35461754651163,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3405,5.942,0.5695,0.5,0.1065
"28-Apr-2006","13:17","CapBreton",260797,20,12.3252149224806,-1.94767917248062,NA,NA,NA,NA,NA,104.579848786683,8.4325,376.5,"30.224",4.446,8.032,0.7705,0.794,0.1525
"28-Apr-2006","13:17","CapBreton",260796,30,8.11840503875969,1.78309696124031,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.758,8.424,0.7595,0.7685,0.1535
"28-Apr-2006","13:17","CapBreton",260795,40,5.83049089147287,1.59563560852713,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2175,8.9245,0.8115,0.8395,0.156
"28-Apr-2006","13:17","CapBreton",260794,50,1.26622354651163,0.745970828488372,NA,NA,NA,NA,NA,92.2114440411018,7.749,346,"30.568999999999999",9.2085,14.499,1.1145,1.0315,0.2095
"28-Apr-2006","13:17","CapBreton",260793,60,0.40288023255814,0.48063611744186,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.129,13.4585,1.092,0.7225,0.1615
"28-Apr-2006","13:17","CapBreton",260792,70,0.275301492248062,0.400328657751938,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7225,15.742,1.146,0.8765,0.1695
"28-Apr-2006","13:17","CapBreton",260791,80,0.134747860465116,0.435011009534884,NA,NA,NA,NA,NA,85.3867448662872,7.1115,317.5,"32.000999999999998",9.151,15.0195,1.1855,0.8505,0.178
"09-May-2006","12:55","CapBreton",295210,1,0.523744302325581,0.186533547674419,119.990661104651,112.548264820349,73.6542197286822,67.5074086963178,129,119.731893327357,8.7135,389.5,"28.899000000000001",0,0.56,0.0855,0.447,0.0725
"09-May-2006","12:55","CapBreton",295209,5,0.807446899224806,0.234159600775194,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.451,0.1385,0.5285,0.055
"09-May-2006","12:55","CapBreton",295208,10,0.990957558139535,0.902872441860465,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0475,0.535,0.2105,1.0075,0.062
"09-May-2006","12:55","CapBreton",295207,20,1.7617023255814,0.913332549418605,NA,NA,NA,NA,NA,110.203107137994,8.637,385.5,"29.946000000000002",3.511,0.9615,0.5675,1.39,0.1605
"09-May-2006","12:55","CapBreton",295206,30,0.789095833333333,1.17575279166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3335,0.79,0.772,1.34,0.1735
"09-May-2006","12:55","CapBreton",295205,40,2.64255348837209,2.39976888662791,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.667,2.6655,0.886,2.2535,0.204
"09-May-2006","12:55","CapBreton",295204,50,1.81675552325581,2.84680085174418,NA,NA,NA,NA,NA,95.0061247139416,7.872,351.5,"30.399000000000001",8.2435,9.0855,0.9325,1.4065,0.2075
"09-May-2006","12:55","CapBreton",295203,60,1.33962781007752,1.31173418992248,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8585,11.3775,0.995,0.831,0.1555
"09-May-2006","12:55","CapBreton",295202,70,1.59654273255814,1.19685651744186,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.288,17.17,1.141,0.541,0.1675
"09-May-2006","12:55","CapBreton",295201,80,1.57819166666667,1.14418895833333,NA,NA,NA,NA,NA,82.9615689559984,6.8775,307.5,"32.073999999999998",10.1125,17.708,1.201,0.4325,0.189
"24-May-2006","16:00","Opilio",295220,1,0.476741608527132,0.268183941472868,62.7428490310078,39.1603332814922,34.5055735465116,17.1133593909884,144,107.073713593753,7.4525,332.5,"29.96",0.9075,0.834,0.294,0.778,0.12
"24-May-2006","16:00","Opilio",295219,5,0.745328430232558,0.346074119767442,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0345,0.9095,0.326,0.6955,0.098
"24-May-2006","16:00","Opilio",295218,10,1.15611715116279,0.714039973837209,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.239,1.076,0.3685,0.959,0.0915
"24-May-2006","16:00","Opilio",295217,20,0.8661925,0.355138925,NA,NA,NA,NA,NA,100.389920711549,7.9295,354.5,"30.117000000000001",3.773,1.569,0.8445,3.1355,0.145
"24-May-2006","16:00","Opilio",295216,30,0.322304186046512,0.206073238953488,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.467,2.0515,0.831,2.008,0.1475
"24-May-2006","16:00","Opilio",295215,40,0.564032325581395,0.241526699418605,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.842,3.5375,0.939,2.4165,0.167
