"sdate","stime","vessel","id","depth","Chl_a_Holm_Hansen_F","Phaeo_Holm_HansenF","Chl_int","Phaeo_int","Chl_int_50m","Phaeo_int_50m","doy","O2_Electrode","o2_ml","o2_um","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F","Salinity_Sal_PSS"
"16-May-2005","17:24","Opilio",260760,1,0.420504094488189,0.0690327555118111,20.0751985531496,15.6594422218504,15.1644289074803,5.49995994251969,136,NA,7.777,347.5,5.023,6.9565,0.6005,"1.9279999999999999","0.122",29.261
"16-May-2005","17:24","Opilio",260759,5,0.402983090551181,0.108805434448819,NA,NA,NA,NA,NA,NA,NA,NA,4.932,6.8815,0.621,"2.4204999999999997","0.13550000000000001",NA
"16-May-2005","17:24","Opilio",260758,10,0.502268779527559,0.0688575454724412,NA,NA,NA,NA,NA,NA,NA,NA,4.3885,6.2135,0.5675,"2.1345000000000001","0.1295",NA
"16-May-2005","17:24","Opilio",260757,20,0.286176397637795,0.106936527362205,NA,NA,NA,NA,NA,NA,7.9715,356,2.4145,3.6925,0.4725,"1.6065","0.10200000000000001",29.765
"16-May-2005","17:24","Opilio",260756,30,0.268655393700787,0.124457531299213,NA,NA,NA,NA,NA,NA,NA,NA,0.5195,1.1315,0.3435,"1.8035000000000001","7.5999999999999998E-2",NA
"16-May-2005","17:24","Opilio",260755,40,0.204411712598425,0.0700256124015748,NA,NA,NA,NA,NA,NA,NA,NA,0.441,0.7665,0.2945,"1.9830000000000001","6.5500000000000003E-2",NA
"16-May-2005","17:24","Opilio",260754,50,0.146008366141732,0.254521783858268,NA,NA,NA,NA,NA,NA,7.986,357,2.093,2.4985,0.505,"2.649","0.10100000000000001",30.292
"16-May-2005","17:24","Opilio",260753,60,0.161098057086614,0.396522335413386,NA,NA,NA,NA,NA,NA,NA,NA,6.5395,8.125,1.038,"3.5545","0.16",NA
"16-May-2005","17:24","Opilio",260752,70,0.16352937007874,0.29633857992126,NA,NA,NA,NA,NA,NA,NA,NA,6.4955,7.9015,1.0105,"4.1604999999999999","0.18",NA
"16-May-2005","17:24","Opilio",260751,80,0.186890708661417,0.391652841338583,NA,NA,NA,NA,NA,NA,7.0385,314.5,7.811,10.3435,1.2235,"4.3780000000000001","0.16250000000000001",31.06
"01-Jun-2005","19:51","Opilio",260770,1,0.461386437007874,0.265501612992126,16.8118233169291,19.3899862955709,13.9057407185039,9.77969749399606,152,103.134270405266,7.214,322.5,2.8435,4.8205,0.4675,"1.4724999999999999","0.107",29.201
"01-Jun-2005","19:51","Opilio",260769,5,0.420504094488189,0.195125580511811,NA,NA,NA,NA,NA,NA,NA,NA,2.992,4.7705,0.443,"1.038","0.10249999999999999",NA
"01-Jun-2005","19:51","Opilio",260768,10,0.486452956692913,0.283785283307087,NA,NA,NA,NA,NA,NA,NA,NA,4.4855,6.6095,0.592,"1.7389999999999999","0.13250000000000001",NA
"01-Jun-2005","19:51","Opilio",260767,20,0.325354899606299,0.232265492893701,NA,NA,NA,NA,NA,97.7391653276733,7.629,340.5,1.5505,2.329,0.4715,"2.0905","8.7999999999999995E-2",29.949
"01-Jun-2005","19:51","Opilio",260766,30,0.18320955511811,0.12969972988189,NA,NA,NA,NA,NA,NA,NA,NA,2.834,3.7705,0.602,"2.5194999999999999","0.11",NA
"01-Jun-2005","19:51","Opilio",260765,40,0.126351417322835,0.138417977677165,NA,NA,NA,NA,NA,NA,NA,NA,2.347,2.7575,0.6055,"3.0209999999999999","0.112",NA
"01-Jun-2005","19:51","Opilio",260764,50,0.126351417322835,0.194581182677165,NA,NA,NA,NA,NA,92.093285275566,7.569,338,3.5235,4.5255,0.7475,"4.1349999999999998","0.14249999999999999",30.797
"01-Jun-2005","19:51","Opilio",260763,60,0.0884459921259843,0.232486607874016,NA,NA,NA,NA,NA,NA,NA,NA,5.178,6.6415,0.928,"3.7720000000000002","0.13100000000000001",NA
"01-Jun-2005","19:51","Opilio",260762,70,0.0789696358267716,0.406440921673228,NA,NA,NA,NA,NA,NA,NA,NA,6.052,9.9865,1.0535,"3.8914999999999997","0.108",NA
"01-Jun-2005","19:51","Opilio",260761,80,0.120033846456693,0.449621518543307,NA,NA,NA,NA,NA,70.9511764401864,5.7835,258.5,9.5065,16.1615,1.372,"4.5039999999999996","0.112",31.815
"15-Jun-2005","10:09","Opilio",260780,1,2.53286421259842,0.983104737401574,54.7170161515748,35.4360366859252,52.9638902362205,26.9794942637795,166,103.242952575674,6.8585,306.5,0,5.7715,0.113,"0.50849999999999995","4.7E-2",28.778
"15-Jun-2005","10:09","Opilio",260779,5,2.56231612204724,0.841441052952755,NA,NA,NA,NA,NA,NA,NA,NA,0,5.7745,0.223,"0.71499999999999997","0.05",NA
"15-Jun-2005","10:09","Opilio",260778,10,3.56368104330709,1.48584883169291,NA,NA,NA,NA,NA,NA,NA,NA,1.0075,6.0945,0.3335,"1.4405000000000001","8.8999999999999996E-2",NA
